Number of stations is:
731 
     nw stn lat lon:
IW FLWY  44.083  -110.699
TA W18A  35.118  -109.736
CI _SVD  34.106  -117.098
US NLWA  47.392  -123.869
TA G21A  45.225  -107.207
YW FACJ  45.296  -123.289
TA 214A  31.956  -112.811
AK _FYU  66.566  -145.234
LI _LTH  46.462  -119.418
TA I27A  44.069  -102.052
TA P22A  39.595  -106.759
XZ VRDI  61.227  -143.454
XV BH2B  45.200  -108.258
TA W24A  35.211  -105.407
TA 732A  28.729  -99.971
CI _BFS  34.239  -117.659
TA 835A  28.287  -97.830
AZ _CRY  33.565  -116.737
US NATX  31.760  -94.661
TA V35A  35.763  -96.838
TA Q25A  38.914  -104.247
TA 834A  28.125  -98.552
CI _VTV  34.561  -117.330
XR SC44  32.757  -105.947
UW OMAK  48.358  -119.333
TA M30A  41.537  -99.872
TA E25A  46.501  -103.401
TA V27A  35.757  -102.836
CI _TIN  37.054  -118.230
TA 237A  32.002  -95.808
US SDCO  37.746  -105.501
TA C22A  47.746  -105.884
TA E19A  46.461  -108.786
XR SC73  30.961  -102.987
US MVCO  37.200  -108.493
UW _GNW  47.564  -122.825
PE PSUB  39.930  -75.450
TA A20A  48.880  -107.926
TA A23A  48.959  -104.879
TA J26A  43.313  -103.075
TA O27A  40.190  -102.479
TA N30A  40.796  -100.100
TA 432A  30.875  -99.794
CI MLAC  37.630  -118.836
US BW06  42.767  -109.558
LB _TPH  38.075  -117.222
TA B25A  48.272  -103.161
TA B28A  48.449  -100.362
US ACSO  40.232  -82.982
TA M28A  41.396  -101.371
UW TOLT  47.695  -121.689
TA Q31A  39.005  -99.395
TA F29A  45.834  -99.827
TA J29A  43.406  -100.325
XV BH4C  43.516  -107.711
TA Q28A  39.062  -101.831
XV BH1D  44.830  -107.314
AK SCRK  63.976  -143.990
TA 631A  29.412  -100.576
YW FACT  42.557  -124.067
YW FACM  43.782  -122.447
IW FXWY  43.638  -111.027
XV BH2D  44.658  -107.540
TA I29A  44.022  -100.303
TA W34A  35.235  -97.773
TA W32A  35.124  -99.246
CI _BBR  34.262  -116.921
TA 734A  28.847  -98.558
TA G22A  45.219  -106.292
IU RSSD  44.121  -104.036
CI _BAK  35.344  -119.104
US AGMN  48.298  -95.862
PE WRPS  40.790  -77.870
TA Y34A  33.957  -97.757
CI _GRA  36.996  -117.366
TA Z32A  33.307  -99.478
TA D26A  47.030  -102.436
TA Q33A  38.998  -97.833
CI NEE2  34.768  -114.619
TA O26A  40.242  -103.313
TA V25A  35.838  -104.616
TA N02D  40.974  -122.705
US ISCO  39.800  -105.613
TA K24A  42.722  -104.815
LD _PTN  44.570  -74.982
CI _CIA  33.402  -118.415
TA F28A  45.849  -100.800
US MIAR  34.545  -93.576
CI PASC  34.171  -118.185
XV BH3E  43.593  -106.893
TA L31A  42.176  -98.839
US _AAM  42.301  -83.657
TA O22A  40.162  -106.547
TA F22A  45.779  -106.257
TA S36A  37.724  -95.592
TA N26A  40.829  -103.222
TA 632A  29.507  -99.786
TA Q30A  38.977  -100.221
XN TOL0  44.676  -124.000
TA Y28A  33.909  -102.248
TA 233A  32.018  -98.900
CI _PHL  35.408  -120.546
TA H27A  44.633  -102.078
TA T28A  37.120  -102.114
XZ BARK  60.403  -142.493
TA U25A  36.400  -104.408
TA 329A  31.487  -101.981
TA E21A  46.541  -107.076
XR SC63  31.803  -104.846
IW DLMT  45.362  -112.596
YW FACR  43.434  -123.121
CI _PLM  33.354  -116.863
TA T33A  37.082  -98.244
TA X33A  34.541  -98.501
TA P32A  39.622  -98.601
TA N32A  40.764  -98.296
TA N28A  40.687  -101.541
TA N22A  40.802  -106.454
BK MCCM  38.145  -122.880
TA R26A  38.301  -103.447
NM PVMO  36.414  -89.700
TA I20A  43.950  -108.128
XN MAP0  44.004  -123.830
TA A21A  48.991  -106.925
TA W29A  35.121  -101.648
CI _VES  35.841  -119.085
UW DAVN  47.801  -118.274
AZ MONP  32.892  -116.422
TA G23A  45.201  -105.391
TA J19A  43.265  -109.053
YW FACF  46.332  -122.776
TA X16A  34.418  -111.441
TA U22A  36.377  -106.855
TA P23A  39.374  -105.839
AZ _CPE  32.889  -117.105
US RLMT  45.122  -109.267
TA E24A  46.561  -104.307
XZ KIAG  60.923  -142.361
TA C19A  47.734  -109.049
IW LOHW  43.612  -110.604
TA A19A  48.929  -108.743
YW FACG  46.075  -123.176
XR SC13  34.214  -103.527
TA R27A  38.286  -102.798
XR SC55  32.171  -103.673
TA 319A  31.376  -109.281
YW FACL  44.140  -123.020
TA I05D  44.339  -121.340
XV BH1B  44.816  -108.234
UO _PIN  43.811  -120.873
US PKME  45.264  -69.292
TA I23A  43.961  -105.463
TA T24B  37.062  -105.382
TA V33A  35.821  -98.286
XU W060  47.320  -123.312
CI _ADO  34.550  -117.434
TA R25A  38.147  -104.283
Y5 _PER  53.680  -116.040
XR SC08  34.157  -105.470
CI SCI2  32.980  -118.547
CI _FMP  33.713  -118.294
CI _GMR  34.785  -115.660
IW TPAW  43.490  -110.957
TA K28A  42.714  -101.367
TA G20A  45.220  -108.214
XR SC07  34.184  -105.688
IU SSPA  40.636  -77.888
TA A27A  48.953  -101.241
US WUAZ  35.517  -111.374
CI _LRL  35.480  -117.682
XR SC10  34.194  -104.667
XV BH2G  44.791  -106.017
UW UMAT  45.290  -118.960
TA 138A  32.660  -95.089
TA V31A  35.774  -99.843
XR SC21  33.597  -105.165
TA V28A  35.751  -102.224
TA 338A  31.357  -95.311
TA 533A  30.072  -99.035
TA U27A  36.421  -102.825
CI _FUR  36.467  -116.863
TA C21A  47.826  -107.096
TA I17A  43.920  -110.576
XZ BARN  61.059  -141.662
CI _IRM  34.157  -115.145
XR SC26  33.504  -103.118
TA W25A  35.218  -104.461
AZ SMER  33.458  -117.171
LD _FOR  40.860  -73.885
TA R24A  38.231  -105.108
TA I03D  43.697  -123.349
US LRAL  33.040  -86.998
TA E22A  46.439  -105.949
XV BH1H  44.954  -105.073
TA F24A  45.845  -104.445
XR SC06  34.514  -104.266
TA J30A  43.325  -99.492
TA Z28A  33.288  -102.387
TA S32A  37.700  -98.936
XR SC61  31.989  -103.691
XV BH2F  45.098  -106.631
TA B22A  48.301  -105.996
TA 833A  28.324  -99.394
TA K23A  42.755  -105.625
TA H29A  44.626  -100.213
UW _OFR  47.933  -124.396
CI _SDD  33.553  -117.662
TA 130A  32.596  -100.965
AZ LVA2  33.352  -116.561
XU W020  47.873  -122.946
XR SC36  33.005  -105.180
XV BH4G  44.191  -105.784
TA W30A  35.182  -100.577
TA T23A  37.036  -106.037
TA V26A  35.796  -103.786
TA Y12C  33.750  -114.524
US AMTX  34.884  -101.681
XR SC71  31.646  -103.066
TA Y33A  34.008  -98.626
TA W33A  35.152  -98.469
TA ABTX  32.624  -99.643
YW FACH  45.881  -123.216
TA J22A  43.413  -106.478
US SCIA  41.907  -93.215
XR SC28  33.566  -102.492
XV BH5G  43.640  -106.030
TA M04C  41.783  -121.839
CI _ARV  35.127  -118.830
TA R30A  38.284  -100.277
TA O30A  40.179  -100.057
SC Y22A  33.937  -106.965
TA S26A  37.622  -103.471
TA D20A  47.091  -108.136
UW _LTY  47.255  -120.666
XV BH3G  44.610  -105.976
NM USIN  37.965  -87.666
XR SC45  32.634  -105.155
CI _USC  34.019  -118.286
TA 131A  32.674  -100.389
TA U33A  36.433  -98.114
XV BHM4  44.575  -107.295
TA 429A  30.625  -101.894
