Number of stations is:
756 
     nw stn lat lon:
CM _RUS  5.893  -73.083
TA O28M  60.772  -140.191
IW FLWY  44.083  -110.699
AK MESA  60.178  -141.951
CI _SVD  34.106  -117.098
TA G18K  65.895  -158.654
AK _FID  60.728  -146.599
AK _FYU  66.566  -145.234
TA K20K  63.357  -154.070
AK _CTG  60.965  -141.340
AV CLES  52.824  -169.895
US HDIL  40.556  -89.294
CI _BFS  34.239  -117.659
MX ZAIG  22.769  -102.567
TA J30M  64.575  -136.330
N4 X58A  34.555  -79.339
AZ _CRY  33.565  -116.737
US NATX  31.760  -94.661
CI _VTV  34.561  -117.330
TA G21K  66.516  -153.506
N4 N53A  40.806  -80.838
TA L18K  62.219  -156.689
AK ISLE  60.602  -142.341
AK BAGL  60.490  -142.091
UW OMAK  48.358  -119.333
AK PPLA  62.896  -152.189
CI _TIN  37.054  -118.230
_G _HDC  10.002  -84.111
TA F24K  67.519  -147.887
US SDCO  37.746  -105.501
TA P30M  60.122  -136.960
CU BCIP  9.166  -79.837
US MVCO  37.200  -108.493
N4 456A  30.725  -82.022
PY BPH1  33.606  -116.460
MX SRIG  27.320  -112.241
TA J20K  64.177  -154.147
CI MLAC  37.630  -118.836
US BW06  42.767  -109.558
N4 G40A  45.268  -90.201
OO AXCC  45.955  -130.009
TA C26K  69.918  -144.912
US ACSO  40.232  -82.982
N4 H43A  44.470  -87.770
CM _URI  11.702  -71.993
N4 255A  31.926  -82.476
AK SCRK  63.976  -143.990
PR CELP  18.075  -66.579
TA A21K  71.322  -156.618
AV _AKV  54.125  -165.965
UW HOOD  45.322  -121.651
IW FXWY  43.638  -111.027
TA G17K  65.501  -160.651
N4 Z47B  33.199  -88.070
CI _BBR  34.262  -116.921
TA B20K  70.008  -157.160
IU RSSD  44.121  -104.036
TA A22K  71.003  -154.974
TA M26K  62.401  -142.996
US AGMN  48.298  -95.862
AV ILSW  59.983  -153.143
N4 K50A  42.775  -82.623
CI _GRA  36.996  -117.366
TA C19K  69.105  -159.587
IU SLBS  23.686  -109.944
WC HATO  12.180  -68.958
CI NEE2  34.768  -114.619
AK _JIS  58.276  -134.385
N4 TUL3  35.910  -95.792
CI _CIA  33.402  -118.415
CI PASC  34.171  -118.185
N4 Z38B  33.260  -94.985
PR UUPR  18.253  -66.720
TA Q16K  58.677  -156.656
N4 T47A  36.988  -87.106
TA U33K  56.115  -133.121
AK _SKN  61.980  -151.532
TA D23K  68.966  -150.681
TA G15K  64.994  -164.039
N4 R50A  38.282  -84.327
CN YKAW  62.482  -114.484
AK NICH  60.236  -143.969
AZ SIO5  32.841  -117.250
TA H25L  66.267  -145.819
TA H19K  65.528  -156.449
AK _TNA  65.560  -167.927
CI _PHL  35.408  -120.546
TA H27K  66.231  -141.526
TA N18K  60.680  -155.890
TA J18K  63.465  -156.715
TA S31K  57.962  -136.232
TA M18K  61.491  -155.824
TA M13K  60.413  -163.350
TA A36M  71.987  -125.247
IW DLMT  45.362  -112.596
N4 W50A  35.200  -85.312
CI _PLM  33.354  -116.863
AK RC01  61.089  -149.739
TA F22K  67.508  -152.179
N4 N49A  40.922  -84.183
BK MCCM  38.145  -122.880
GS ASL9  34.946  -106.457
IM NV31  38.433  -118.155
NM PVMO  36.414  -89.700
N4 T42B  37.030  -91.093
AK _KNK  61.413  -148.458
CI _VES  35.841  -119.085
UW DAVN  47.801  -118.274
TA O20K  60.081  -152.624
CI _VOG  36.321  -119.382
N4 N58A  40.840  -76.716
TA S32K  57.469  -134.576
